seq1	>ref-NC_001874.1 Rhopalosiphum padi virus, complete genome-table6-Dicistroviridae-HMM1600-2142_23.0-ORF78
seq309	>tsa-GDRM01035467.1 (REVERSE SENSE) TSA: Limacina antarctica TR127370_c0_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM1-113_98.0-ORF7
seq310	>tsa-GDRM01035697.1 (REVERSE SENSE) TSA: Limacina antarctica TR58095_c0_g2_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM3-167_96.0-ORF17
seq311	>tsa-GDRM01035698.1 (REVERSE SENSE) TSA: Limacina antarctica TR58095_c0_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM3-167_96.0-ORF18
seq312	>tsa-GDRM01039689.1 (REVERSE SENSE) TSA: Limacina antarctica TR106275_c0_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM2-103_98.0-ORF10
seq313	>tsa-GDRM01042086.1 (REVERSE SENSE) TSA: Limacina antarctica TR30520_c0_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM1-303_94.0-ORF33
seq314	>tsa-GDRM01046004.1 (REVERSE SENSE) TSA: Limacina antarctica TR21146_c0_g3_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM11-131_90.0-ORF7
seq315	>tsa-GDRM01046598.1 (REVERSE SENSE) TSA: Limacina antarctica TR21146_c0_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM12-163_31.0-ORF35
seq316	>tsa-GDRM01049288.1 (REVERSE SENSE) TSA: Limacina antarctica TR40832_c1_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM14-104_85.0-ORF8
seq317	>tsa-GDRM01060271.1 (REVERSE SENSE) TSA: Limacina antarctica TR93827_c0_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM1-282_85.0-ORF34
seq318	>tsa-GDRM01065080.1 (REVERSE SENSE) TSA: Limacina antarctica TR57238_c0_g2_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM60-267_77.0-ORF22
seq319	>tsa-GDRM01065081.1 (REVERSE SENSE) TSA: Limacina antarctica TR57238_c0_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM60-267_77.0-ORF22
seq320	>tsa-GDRM01066453.1 (REVERSE SENSE) TSA: Limacina antarctica TR45313_c0_g1_i2 transcribed RNA sequence-table1-Dicistroviridae-HMM147-481_68.0-ORF38
seq321	>tsa-GDRM01066770.1 (REVERSE SENSE) TSA: Limacina antarctica TR50594_c0_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM35-156_77.0-ORF16
seq322	>tsa-GDRM01074357.1 (REVERSE SENSE) TSA: Limacina antarctica TR67826_c0_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM3-124_25.0-ORF29
seq323	>tsa-GDRM01080810.1 (REVERSE SENSE) TSA: Limacina antarctica TR86877_c4_g2_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM10-204_85.0-ORF61
seq324	>tsa-GDRM01081009.1 (REVERSE SENSE) TSA: Limacina antarctica TR86877_c3_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM366-468_21.0-ORF34
seq325	>tsa-GAYX01145454.1 (REVERSE SENSE) TSA: Lolium perenne comp160378_c0_seq1 transcribed RNA sequence-table6-Dicistroviridae-HMM1-77_83.0-ORF18
seq326	>tsa-GAYX01151109.1 (REVERSE SENSE) TSA: Lolium perenne comp174042_c0_seq1 transcribed RNA sequence-table1-Dicistroviridae-HMM2-79_95.0-ORF5
seq327	>tsa-GFBB01056881.1 (REVERSE SENSE) TSA: Lomandra longifolia Contig_64104 transcribed RNA sequence-table1-Dicistroviridae-HMM9-157_91.0-ORF12
seq328	>tsa-GFMM01214278.1 TSA: Maccullochella peelii c126555_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM2-94_96.0-ORF3
seq329	>tsa-GFMM01221015.1 TSA: Maccullochella peelii c133424_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM3-216_98.0-ORF8
seq330	>tsa-GCVG01031551.1 (REVERSE SENSE) TSA: Macrobrachium nipponense c118323_g1 transcribed RNA sequence-table4-Dicistroviridae-HMM1465-1955_21.0-ORF195
seq331	>tsa-GEFO01002540.1 TSA: Marchantia polymorpha Transcript_14815 transcribed RNA sequence-table6-Dicistroviridae-HMM1138-1599_27.0-ORF62
seq332	>tsa-GAFF01020061.1 TSA: Medicago sativa comp42474_c0_seq1 mRNA sequence-table6-Dicistroviridae-HMM1496-2042_26.0-ORF74
seq333	>tsa-GAWR02017624.1 (REVERSE SENSE) TSA: Menopon gallinae C87693_a_18_0_l_4038 transcribed RNA sequence-table4-Dicistroviridae-HMM669-1159_36.0-ORF109
seq334	>tsa-GATB02052453.1 (REVERSE SENSE) TSA: Metallyticus splendidus s10023_L_69233_0_a_33_6_l_5283 transcribed RNA sequence-table4-Dicistroviridae-HMM262-757_29.0-ORF85
seq335	>tsa-GFAS01239249.1 (REVERSE SENSE) TSA: Millepora alcicornis TRINITY_DN131928_c0_g1_i1 transcribed RNA sequence-table4-Dicistroviridae-HMM1110-1560_16.0-ORF203
seq336	>tsa-GFAT01105288.1 TSA: Mnemiopsis leidyi c360509_g1_i2 transcribed RNA sequence-table6-Dicistroviridae-HMM1960-2438_19.0-ORF94
seq337	>tsa-GENV01002336.1 TSA: Mucuna pruriens MP02357 transcribed RNA sequence-table1-Dicistroviridae-HMM2-84_97.0-ORF2
seq338	>tsa-GECQ01337132.1 TSA: Murgantia histrionica HBug_USDA-ARS_IIBBL.337132 transcribed RNA sequence-table1-Dicistroviridae-HMM1-167_98.0-ORF4
seq339	>tsa-GAEM01000143.1 TSA: Mytilus galloprovincialis NORM_MGC_c144 mRNA sequence-table6-Dicistroviridae-HMM164-299_45.0-ORF16
seq340	>tsa-GEMC01004807.1 TSA: Nasturtium officinale c11228_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM1-191_99.0-ORF9
seq341	>tsa-GEMC01005324.1 TSA: Nasturtium officinale c12563_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM3-86_95.0-ORF4
seq342	>tsa-GEMC01005644.1 TSA: Nasturtium officinale c13273_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM2-65_94.0-ORF4
seq343	>tsa-GEMC01015593.1 TSA: Nasturtium officinale c25036_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM3-116_97.0-ORF6
seq344	>tsa-GEMC01015595.1 TSA: Nasturtium officinale c25036_g3_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM11-116_35.0-ORF8
seq345	>tsa-GEMC01015598.1 TSA: Nasturtium officinale c25036_g6_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM4-172_94.0-ORF5
seq346	>tsa-GEMC01035137.1 TSA: Nasturtium officinale c33483_g4_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM273-722_62.0-ORF23
seq347	>tsa-GEMC01069144.1 TSA: Nasturtium officinale c40597_g1_i1 transcribed RNA sequence-table4-Dicistroviridae-HMM1417-1827_22.0-ORF46
seq348	>tsa-GEMC01069145.1 TSA: Nasturtium officinale c40597_g1_i2 transcribed RNA sequence-table6-Dicistroviridae-HMM99-511_65.0-ORF16
seq349	>tsa-GAYF02025269.1 TSA: Nilaparvata lugens C184753_a_63_0_l_8875 transcribed RNA sequence-table6-Dicistroviridae-HMM1254-1796_28.0-ORF68
seq350	>tsa-GFBT01053780.1 TSA: Nymphoides peltata conTR58637c0g1i1 transcribed RNA sequence-table1-Dicistroviridae-HMM9-109_90.0-ORF3
seq351	>tsa-GFDF01007778.1 TSA: Nyssomyia neivai Nn-14591_FR6_1-956 transcribed RNA sequence-table6-Dicistroviridae-HMM452-947_51.0-ORF31
seq352	>tsa-GBKW01092835.1 TSA: Olea europaea OlePic_t_370447 transcribed RNA sequence-table1-Dicistroviridae-HMM459-682_32.0-ORF22
seq353	>tsa-GBLU01022064.1 TSA: Oxybelus bipunctatus s8625_L_22424_0_a_58_6_l_9347 transcribed RNA sequence-table6-Dicistroviridae-HMM1436-1945_24.0-ORF75
seq354	>tsa-GEQX01016691.1 TSA: Pallasea cancelloides c22367_g2_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM2-315_24.0-ORF39
seq355	>tsa-GEQX01016692.1 (REVERSE SENSE) TSA: Pallasea cancelloides c22367_g3_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM12-166_92.0-ORF15
seq356	>tsa-GERF01023383.1 (REVERSE SENSE) TSA: Pallasea cancelloides c25994_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM4-125_41.0-ORF25
seq357	>tsa-GERF01034277.1 (REVERSE SENSE) TSA: Pallasea cancelloides c33058_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM2-90_97.0-ORF7
seq358	>tsa-GFRX01028094.1 (REVERSE SENSE) TSA: Panax notoginseng TR101465_c0_g1_i2 transcribed RNA sequence-table4-Dicistroviridae-HMM20-161_13.0-ORF75
seq359	>tsa-GFTR01008770.1 TSA: Panstrongylus lignarius Ph-58816 transcribed RNA sequence-table4-Dicistroviridae-HMM817-1312_36.0-ORF49
seq360	>tsa-IAAA01131244.1 TSA: Parasteatoda tepidariorum mRNA, contig: comp110359_seq0, transcribed RNA sequence-table1-Dicistroviridae-HMM1-89_97.0-ORF4
seq361	>tsa-GCVO01003114.1 (REVERSE SENSE) TSA: Pardosa pseudoannulata comp11049_c0_seq2 transcribed RNA sequence-table4-Dicistroviridae-HMM20-102_78.0-ORF9
seq362	>tsa-GCVT01003114.1 (REVERSE SENSE) TSA: Pardosa pseudoannulata comp11049_c0_seq2 transcribed RNA sequence-table4-Dicistroviridae-HMM20-102_78.0-ORF9
seq363	>tsa-GEEP01008077.1 (REVERSE SENSE) TSA: Penaeus monodon Control_26911 transcribed RNA sequence-table1-Dicistroviridae-HMM1-147_99.0-ORF16
seq364	>tsa-GEME01031299.1 (REVERSE SENSE) TSA: Penaeus monodon Ctrl_Locus_3783_Tr_1/1_Len_445 transcribed RNA sequence-table1-Dicistroviridae-HMM1-147_99.0-ORF16
seq365	>tsa-GEIF01047047.1 (REVERSE SENSE) TSA: Periplaneta americana Unigene38693_All transcribed RNA sequence-table1-Dicistroviridae-HMM1-91_98.0-ORF9
seq366	>tsa-GEIF01050378.1 (REVERSE SENSE) TSA: Periplaneta americana Unigene41692_All transcribed RNA sequence-table1-Dicistroviridae-HMM3-74_95.0-ORF7
seq367	>tsa-GAMK01054259.1 TSA: Phaseolus vulgaris Ref_259_comp8866_c0_seq1 transcribed RNA sequence-table6-Dicistroviridae-HMM1324-1807_16.0-ORF83
seq368	>tsa-GFFN01130616.1 TSA: Phlox cuspidata Cusp@c95389_g1_i2 transcribed RNA sequence-table6-Dicistroviridae-HMM2-178_16.0-ORF34
seq369	>tsa-GFFP01004559.1 TSA: Phlox drummondii DruR@c23581_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM2-154_98.0-ORF6
seq370	>tsa-GFFP01011276.1 (REVERSE SENSE) TSA: Phlox drummondii DruR@c42238_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM2-133_94.0-ORF11
seq371	>tsa-GFFP01018497.1 TSA: Phlox drummondii DruR@c53430_g2_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM7-141_94.0-ORF4
seq372	>tsa-GFSC01036409.1 TSA: Phoronis australis TRINITY_DN340220_c0_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM1-93_97.0-ORF3
seq373	>tsa-GEOW01072248.1 TSA: Photinus pyralis TR38402_c0_g2_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM1008-1508_30.0-ORF53
seq374	>tsa-GEZM01100988.1 TSA: Photinus pyralis 151_Ppyr_v3_TRINITY_DN47121_c0_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM2-111_98.0-ORF4
seq375	>tsa-GBPM01013342.1 TSA: Pimpla flavicoxis C83110_a_3_0_l_254 transcribed RNA sequence-table1-Dicistroviridae-HMM2-84_97.0-ORF2
seq376	>tsa-GFHB01078091.1 TSA: Pinus massoniana c73283_g1 transcribed RNA sequence-table6-Dicistroviridae-HMM298-786_60.0-ORF35
seq377	>tsa-GEBH01248550.1 TSA: Poa pratensis IXRNA007_contig_262015 transcribed RNA sequence-table6-Dicistroviridae-HMM45-162_71.0-ORF6
seq378	>tsa-GEBH01298623.1 TSA: Poa pratensis IXRNA007_contig_317344 transcribed RNA sequence-table4-Dicistroviridae-HMM13-77_71.0-ORF6
seq379	>tsa-GFFJ01060840.1 TSA: Portunus trituberculatus comp101321_c1 transcribed RNA sequence-table1-Dicistroviridae-HMM66-487_85.0-ORF15
seq380	>tsa-GFFJ01089769.1 (REVERSE SENSE) TSA: Portunus trituberculatus comp834726_c0 transcribed RNA sequence-table1-Dicistroviridae-HMM8-116_89.0-ORF7
seq381	>tsa-GFFJ01095426.1 (REVERSE SENSE) TSA: Portunus trituberculatus comp938402_c0 transcribed RNA sequence-table1-Dicistroviridae-HMM2-72_95.0-ORF6
seq382	>tsa-GFFJ01101093.1 TSA: Portunus trituberculatus comp1053485_c0 transcribed RNA sequence-table1-Dicistroviridae-HMM1-79_98.0-ORF2
seq383	>tsa-GFFJ01101230.1 TSA: Portunus trituberculatus comp1055764_c0 transcribed RNA sequence-table1-Dicistroviridae-HMM1-109_99.0-ORF3
seq384	>tsa-HAEQ01015715.1 TSA: Proasellus arthrodilus, contig comp36811_c0_seq1, transcribed RNA sequence-table6-Dicistroviridae-HMM6-341_83.0-ORF13
seq385	>tsa-HAEQ01109283.1 (REVERSE SENSE) TSA: Proasellus arthrodilus, contig comp1038772_c0_seq1, transcribed RNA sequence-table1-Dicistroviridae-HMM1-186_95.0-ORF15
seq386	>tsa-HAFA01034871.1 TSA: Proasellus ibericus, contig comp58297_c0_seq2, transcribed RNA sequence-table6-Dicistroviridae-HMM1-272_94.0-ORF10
seq387	>tsa-HAFA01133698.1 (REVERSE SENSE) TSA: Proasellus ibericus, contig comp888567_c0_seq1, transcribed RNA sequence-table1-Dicistroviridae-HMM3-159_98.0-ORF12
seq388	>tsa-HAFC01051708.1 TSA: Proasellus karamani, contig comp68785_c1_seq1, transcribed RNA sequence-table1-Dicistroviridae-HMM44-140_68.0-ORF4
seq389	>tsa-HAFC01081090.1 TSA: Proasellus karamani, contig comp80201_c0_seq1, transcribed RNA sequence-table1-Dicistroviridae-HMM1-109_84.0-ORF5
seq390	>tsa-HAFC01161270.1 TSA: Proasellus karamani, contig comp1310399_c0_seq1, transcribed RNA sequence-table1-Dicistroviridae-HMM1-71_95.0-ORF3
seq391	>tsa-HAFE01153239.1 (REVERSE SENSE) TSA: Proasellus meridianus, contig comp1942225_c0_seq1, transcribed RNA sequence-table1-Dicistroviridae-HMM1-80_98.0-ORF7
seq392	>tsa-HAFF01052901.1 (REVERSE SENSE) TSA: Proasellus ortizi, contig c43057_g1_i1, transcribed RNA sequence-table1-Dicistroviridae-HMM3-78_93.0-ORF7
seq393	>tsa-HAFG01215459.1 (REVERSE SENSE) TSA: Proasellus parvulus, contig comp2347480_c0_seq1, transcribed RNA sequence-table1-Dicistroviridae-HMM6-80_91.0-ORF8
seq394	>tsa-HAFH01118184.1 TSA: Proasellus racovitzai, contig comp920842_c0_seq1, transcribed RNA sequence-table1-Dicistroviridae-HMM3-98_96.0-ORF4
seq395	>tsa-HAFH01120589.1 TSA: Proasellus racovitzai, contig comp986316_c0_seq1, transcribed RNA sequence-table1-Dicistroviridae-HMM2-67_91.0-ORF2
seq396	>tsa-HAFJ01007348.1 TSA: Proasellus solanasi, contig comp15221_c0_seq1, transcribed RNA sequence-table1-Dicistroviridae-HMM13-101_87.0-ORF4
seq397	>tsa-HAFJ01050538.1 TSA: Proasellus solanasi, contig comp59217_c0_seq1, transcribed RNA sequence-table6-Dicistroviridae-HMM2-321_84.0-ORF15
seq398	>tsa-HAFJ01051789.1 TSA: Proasellus solanasi, contig comp59531_c0_seq1, transcribed RNA sequence-table4-Dicistroviridae-HMM1130-1633_30.0-ORF35
seq399	>tsa-HAFJ01109517.1 (REVERSE SENSE) TSA: Proasellus solanasi, contig comp1148932_c0_seq1, transcribed RNA sequence-table1-Dicistroviridae-HMM1-84_97.0-ORF8
seq400	>tsa-HAFK01011955.1 TSA: Proasellus spelaeus, contig comp17994_c0_seq1, transcribed RNA sequence-table6-Dicistroviridae-HMM136-621_75.0-ORF24
seq401	>tsa-GBEV01185500.1 (REVERSE SENSE) TSA: Procambarus clarkii Pc_185626 transcribed RNA sequence-table4-Dicistroviridae-HMM3-398_82.0-ORF40
seq402	>tsa-GAKZ01035072.1 (REVERSE SENSE) TSA: Procotyla fluviatilis contig104589 transcribed RNA sequence-table1-Dicistroviridae-HMM148-397_62.0-ORF29
seq403	>tsa-GAKZ01048307.1 (REVERSE SENSE) TSA: Procotyla fluviatilis contig53494 transcribed RNA sequence-table6-Dicistroviridae-HMM1312-1792_16.0-ORF232
seq404	>tsa-GEAB01118707.1 TSA: Psammomys obesus comp46255_c0_seq1_1085 transcribed RNA sequence-table1-Dicistroviridae-HMM158-360_55.0-ORF10
seq405	>tsa-GEAB01121308.1 (REVERSE SENSE) TSA: Psammomys obesus comp47155_c0_seq1_1662 transcribed RNA sequence-table6-Dicistroviridae-HMM2-302_89.0-ORF32
seq406	>tsa-HACD01060215.1 TSA: Pseudodiploria strigosa, contig dist206617_c1_seq1, transcribed RNA sequence-table1-Dicistroviridae-HMM4-116_96.0-ORF5
seq407	>tsa-HACD01107420.1 (REVERSE SENSE) TSA: Pseudodiploria strigosa, contig dist234943_c1_seq1, transcribed RNA sequence-table1-Dicistroviridae-HMM2-298_98.0-ORF27
seq408	>tsa-HACD01107421.1 (REVERSE SENSE) TSA: Pseudodiploria strigosa, contig dist234943_c1_seq2, transcribed RNA sequence-table1-Dicistroviridae-HMM2-211_99.0-ORF17
seq409	>tsa-HACD01154635.1 (REVERSE SENSE) TSA: Pseudodiploria strigosa, contig dist245996_c2_seq2, transcribed RNA sequence-table1-Dicistroviridae-HMM43-192_72.0-ORF18
seq410	>tsa-HACD01154637.1 (REVERSE SENSE) TSA: Pseudodiploria strigosa, contig dist245996_c2_seq4, transcribed RNA sequence-table1-Dicistroviridae-HMM2-109_87.0-ORF8
seq411	>tsa-HACD01215532.1 TSA: Pseudodiploria strigosa, contig dist251961_c0_seq1, transcribed RNA sequence-table6-Dicistroviridae-HMM4-334_87.0-ORF11
seq412	>tsa-HACD01215533.1 TSA: Pseudodiploria strigosa, contig dist251961_c0_seq2, transcribed RNA sequence-table6-Dicistroviridae-HMM4-334_87.0-ORF11
seq413	>tsa-HACD01215534.1 TSA: Pseudodiploria strigosa, contig dist251961_c0_seq3, transcribed RNA sequence-table6-Dicistroviridae-HMM4-334_87.0-ORF11
seq414	>tsa-HACD01215535.1 TSA: Pseudodiploria strigosa, contig dist251961_c0_seq4, transcribed RNA sequence-table6-Dicistroviridae-HMM4-334_87.0-ORF11
seq415	>tsa-HACD01215538.1 TSA: Pseudodiploria strigosa, contig dist251961_c0_seq7, transcribed RNA sequence-table1-Dicistroviridae-HMM4-302_98.0-ORF10
seq416	>tsa-HACD01215539.1 TSA: Pseudodiploria strigosa, contig dist251961_c1_seq1, transcribed RNA sequence-table1-Dicistroviridae-HMM2-102_91.0-ORF4
seq417	>tsa-HACD01215540.1 TSA: Pseudodiploria strigosa, contig dist251961_c1_seq2, transcribed RNA sequence-table1-Dicistroviridae-HMM2-98_90.0-ORF4
seq418	>tsa-GECT01003331.1 (REVERSE SENSE) TSA: Pteromalus puparum comp25057_c0 transcribed RNA sequence-table1-Dicistroviridae-HMM3-101_97.0-ORF3
seq419	>tsa-GECT01016007.1 TSA: Pteromalus puparum comp28542_c0 transcribed RNA sequence-table6-Dicistroviridae-HMM1317-1824_18.0-ORF79
seq420	>tsa-GENS01004451.1 (REVERSE SENSE) TSA: Ptyssoptera sp. AB-2015 k52_109935 transcribed RNA sequence-table1-Dicistroviridae-HMM2-152_97.0-ORF16
seq421	>tsa-GENS01018004.1 TSA: Ptyssoptera sp. AB-2015 k52_442130 transcribed RNA sequence-table1-Dicistroviridae-HMM2-213_99.0-ORF7
seq422	>tsa-GERG01077902.1 TSA: Ptyssoptera sp. AB-2015 c101484_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM122-488_75.0-ORF18
seq423	>tsa-GERG01077903.1 TSA: Ptyssoptera sp. AB-2015 c101484_g2_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM1-119_90.0-ORF4
seq424	>tsa-GAYZ02004529.1 (REVERSE SENSE) TSA: Ranatra linearis C40905_a_3_0_l_241 transcribed RNA sequence-table1-Dicistroviridae-HMM8-73_81.0-ORF8
seq425	>tsa-GECK01029261.1 TSA: Rhodnius prolixus Rpro_Trinity_comp_209700_c0_seq1 transcribed RNA sequence-table1-Dicistroviridae-HMM184-531_64.0-ORF15
seq426	>tsa-GEMS01019160.1 TSA: Rhopilema esculentum c25461_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM1-243_98.0-ORF10
seq427	>tsa-GEMS01126437.1 (REVERSE SENSE) TSA: Rhopilema esculentum c104126_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM11-115_89.0-ORF11
seq428	>tsa-GDRE01036073.1 (REVERSE SENSE) TSA: Rotaria magnacalcarata RMAGT0036180 transcribed RNA sequence-table1-Dicistroviridae-HMM1-98_97.0-ORF5
seq429	>tsa-GCZX01049581.1 TSA: Saccharum hybrid cultivar SP803280_c116610_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM951-1439_28.0-ORF49
seq430	>tsa-GCZX01088471.1 TSA: Saccharum hybrid cultivar SP803280_c105738_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM662-1161_39.0-ORF34
seq431	>tsa-GFHJ01004832.1 TSA: Saccharum hybrid cultivar SUGIT-0004833 transcribed RNA sequence-table6-Dicistroviridae-HMM384-921_55.0-ORF26
seq432	>tsa-GFHZ01024608.1 TSA: Saccharum SUG_denovo_0614634 transcribed RNA sequence-table1-Dicistroviridae-HMM4-105_95.0-ORF4
seq433	>tsa-GFHZ01032107.1 TSA: Saccharum SUG_denovo_0783636 transcribed RNA sequence-table4-Dicistroviridae-HMM6-86_61.0-ORF4
seq434	>tsa-GFHZ01049610.1 (REVERSE SENSE) TSA: Saccharum SUG_denovo_0169352 transcribed RNA sequence-table6-Dicistroviridae-HMM1539-1771_13.0-ORF113
seq435	>tsa-GFHZ01054391.1 (REVERSE SENSE) TSA: Saccharum SUG_denovo_0315386 transcribed RNA sequence-table6-Dicistroviridae-HMM1498-2035_25.0-ORF153
seq436	>tsa-GFHZ01113750.1 TSA: Saccharum SUG_denovo_0287610 transcribed RNA sequence-table6-Dicistroviridae-HMM3-465_91.0-ORF13
seq437	>tsa-GFLP01169532.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0169352 transcribed RNA sequence-table6-Dicistroviridae-HMM1539-1771_13.0-ORF113
seq438	>tsa-GFLP01287196.1 TSA: Saccharum hybrid cultivar SUGdenovo-0287610 transcribed RNA sequence-table6-Dicistroviridae-HMM3-465_91.0-ORF13
seq439	>tsa-GFLP01312585.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0315386 transcribed RNA sequence-table6-Dicistroviridae-HMM1498-2035_25.0-ORF153
seq440	>tsa-GAMH01094522.1 TSA: Salicornia europaea Unigene117220_Se200R transcribed RNA sequence-table1-Dicistroviridae-HMM2-136_97.0-ORF4
seq441	>tsa-GFKM01000913.1 (REVERSE SENSE) TSA: Sargassum horneri scaffold-RWXW-2062851-Sargassum_horneri transcribed RNA sequence-table1-Dicistroviridae-HMM1-95_97.0-ORF8
seq442	>tsa-GFKG01021859.1 (REVERSE SENSE) TSA: Sargassum vachellianum scaffold-HFIK-2062074-Sargassum_vachellianum transcribed RNA sequence-table1-Dicistroviridae-HMM2-139_97.0-ORF10
seq443	>tsa-GAKN01006735.1 TSA: Schmidtea mediterranea smed019098 transcribed RNA sequence-table6-Dicistroviridae-HMM47-136_64.0-ORF62
seq444	>tsa-GBQJ01007164.1 (REVERSE SENSE) TSA: Scolia hirta C52213_a_8_0_l_369 transcribed RNA sequence-table1-Dicistroviridae-HMM2-122_98.0-ORF15
seq445	>tsa-GBQJ01019150.1 (REVERSE SENSE) TSA: Scolia hirta C95495_a_19_0_l_3156 transcribed RNA sequence-table6-Dicistroviridae-HMM1-75_85.0-ORF40
seq446	>tsa-GEIE01054385.1 (REVERSE SENSE) TSA: Sepia pharaonis Unigene40375_All transcribed RNA sequence-table6-Dicistroviridae-HMM283-774_24.0-ORF144
seq447	>tsa-GAPL01010793.1 (REVERSE SENSE) TSA: Sitobion avenae aphid_c26914 transcribed RNA sequence-table6-Dicistroviridae-HMM45-149_67.0-ORF17
seq448	>tsa-GAPL01011951.1 TSA: Sitobion avenae aphid_c28745 transcribed RNA sequence-table6-Dicistroviridae-HMM8-129_84.0-ORF5
seq449	>tsa-GAPL01023644.1 (REVERSE SENSE) TSA: Sitobion avenae aphid_rep_c21614 transcribed RNA sequence-table4-Dicistroviridae-HMM69-492_81.0-ORF77
seq450	>tsa-GAPL01023749.1 (REVERSE SENSE) TSA: Sitobion avenae aphid_rep_c21836 transcribed RNA sequence-table6-Dicistroviridae-HMM11-299_96.0-ORF47
seq451	>tsa-GAPL01023793.1 TSA: Sitobion avenae aphid_rep_c21936 transcribed RNA sequence-table6-Dicistroviridae-HMM165-587_71.0-ORF21
seq452	>tsa-GAPL01026381.1 TSA: Sitobion avenae aphid_rep_c48658 transcribed RNA sequence-table1-Dicistroviridae-HMM4-163_96.0-ORF3
seq453	>tsa-GAPL01026569.1 (REVERSE SENSE) TSA: Sitobion avenae aphid_rep_c57263 transcribed RNA sequence-table1-Dicistroviridae-HMM2-105_97.0-ORF14
seq454	>tsa-GAPL01027265.1 TSA: Sitobion avenae aphid_s57226 transcribed RNA sequence-table6-Dicistroviridae-HMM10-124_80.0-ORF4
seq455	>tsa-GAPL01027887.1 TSA: Sitobion avenae contig00342 transcribed RNA sequence-table1-Dicistroviridae-HMM14-255_94.0-ORF5
seq456	>tsa-GFNZ01010254.1 TSA: Bactrocera musae TR7011_c0_g1_i1 transcribed RNA sequence-table4-Dicistroviridae-HMM3-78_96.0-ORF3
seq457	>tsa-GFNZ01010256.1 TSA: Bactrocera musae TR7011_c0_g2_i1 transcribed RNA sequence-table4-Dicistroviridae-HMM3-78_96.0-ORF3
seq458	>tsa-GAYS01081850.1 (REVERSE SENSE) TSA: Solanum incanum Sincanum302405seq1_len234 transcribed RNA sequence-table4-Dicistroviridae-HMM2-76_96.0-ORF4
seq459	>tsa-GAYS01089545.1 (REVERSE SENSE) TSA: Solanum incanum Sincanum397334seq1_len221 transcribed RNA sequence-table4-Dicistroviridae-HMM3-68_89.0-ORF9
seq460	>tsa-GAYR01082063.1 (REVERSE SENSE) TSA: Solanum melongena Smelongena_ramnagar256987seq1_len223 transcribed RNA sequence-table4-Dicistroviridae-HMM1-72_97.0-ORF7
seq461	>tsa-GEZT01154408.1 TSA: Solanum prinophyllum c41696_g1_i1 transcribed RNA sequence-table4-Dicistroviridae-HMM1-83_97.0-ORF2
seq462	>tsa-GEYQ01000526.1 TSA: Steganacarus magnus TR286_c0_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM958-1398_18.0-ORF81
seq463	>tsa-GBWV01016376.1 TSA: Stelis punctulatissima C94949_a_3_0_l_572 transcribed RNA sequence-table4-Dicistroviridae-HMM2-187_97.0-ORF9
