seq1	>ref-NC_002797.1 Discula destructiva virus 1 segment 1, complete genome-table6-Partitiviridae-HMM91-516_71.0-ORF20
seq339	>tsa-GFNY01068617.1 TSA: Bactrocera jarvisi TR25142_c0_g1_i1 transcribed RNA sequence-table4-Partitiviridae-HMM4-67_47.0-ORF6
seq340	>tsa-GFNY01082962.1 TSA: Bactrocera jarvisi TR39118_c0_g1_i1 transcribed RNA sequence-table1-Partitiviridae-HMM3-100_91.0-ORF4
seq341	>tsa-GFNT01069942.1 TSA: Bactrocera kraussi TR30559_c0_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM37-212_82.0-ORF7
seq342	>tsa-GDHF01033639.1 TSA: Bactrocera latifrons TR23408-c0_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM175-486_54.0-ORF16
seq343	>tsa-GFOR01021294.1 TSA: Bactrocera latifrons TR13287_c0_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM176-486_55.0-ORF15
seq344	>tsa-GEZK01194930.1 (REVERSE SENSE) TSA: Bemisia tabaci c140538_g1 transcribed RNA sequence-table6-Partitiviridae-HMM17-167_66.0-ORF10
seq345	>tsa-GEZK01223535.1 (REVERSE SENSE) TSA: Bemisia tabaci c237174_g1 transcribed RNA sequence-table1-Partitiviridae-HMM10-68_77.0-ORF6
seq346	>tsa-GEZK01226294.1 (REVERSE SENSE) TSA: Bemisia tabaci c108415_g1 transcribed RNA sequence-table6-Partitiviridae-HMM9-154_75.0-ORF24
seq347	>tsa-GEIC01046853.1 TSA: Betula papyrifera TRINITY_DN33953_c0_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM76-543_70.0-ORF20
seq348	>tsa-GEIC01111450.1 (REVERSE SENSE) TSA: Betula papyrifera TRINITY_DN57413_c0_g1_i1 transcribed RNA sequence-table1-Partitiviridae-HMM1-84_98.0-ORF7
seq349	>tsa-GEIC01264958.1 (REVERSE SENSE) TSA: Betula papyrifera TRINITY_DN138016_c0_g1_i1 transcribed RNA sequence-table1-Partitiviridae-HMM2-146_97.0-ORF12
seq350	>tsa-GATJ02018884.1 (REVERSE SENSE) TSA: Bibio marci C87807_a_11_0_l_745 transcribed RNA sequence-table1-Partitiviridae-HMM2-242_96.0-ORF20
seq351	>tsa-GCJP01057298.1 (REVERSE SENSE) TSA: Biston suppressaria Unigene31146_All transcribed RNA sequence-table4-Partitiviridae-HMM193-335_31.0-ORF34
seq352	>tsa-GCJP01057300.1 (REVERSE SENSE) TSA: Biston suppressaria Unigene31148_All transcribed RNA sequence-table4-Partitiviridae-HMM44-338_63.0-ORF40
seq353	>tsa-GCJP01057302.1 (REVERSE SENSE) TSA: Biston suppressaria Unigene31150_All transcribed RNA sequence-table6-Partitiviridae-HMM1-92_43.0-ORF17
seq354	>tsa-GCJP01057400.1 (REVERSE SENSE) TSA: Biston suppressaria Unigene31248_All transcribed RNA sequence-table6-Partitiviridae-HMM15-226_60.0-ORF25
seq355	>tsa-GCJP01057573.1 TSA: Biston suppressaria Unigene31422_All transcribed RNA sequence-table1-Partitiviridae-HMM30-375_88.0-ORF10
seq356	>tsa-GBMS01008186.1 TSA: Brachygaster minutus C154619_a_3_0_l_296 transcribed RNA sequence-table1-Partitiviridae-HMM18-98_81.0-ORF4
seq357	>tsa-GAZX01037179.1 (REVERSE SENSE) TSA: Caligus rogercresseyi tsa-crog-ngs-11120938 transcribed RNA sequence-table6-Partitiviridae-HMM67-483_69.0-ORF43
seq358	>tsa-GEUE01076233.1 TSA: Callosobruchus maculatus c55807_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM97-399_67.0-ORF16
seq359	>tsa-GEUH01051199.1 TSA: Callosobruchus maculatus c15271_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM95-396_68.0-ORF15
seq360	>tsa-GBHI01011210.1 (REVERSE SENSE) TSA: Camellia oleifera ColeSingleton15665 transcribed RNA sequence-table1-Partitiviridae-HMM3-62_61.0-ORF9
seq361	>tsa-GBHI01011859.1 (REVERSE SENSE) TSA: Camellia oleifera ColeSingleton16541 transcribed RNA sequence-table1-Partitiviridae-HMM3-67_95.0-ORF5
seq362	>tsa-GEFY01004026.1 TSA: Camellia oleifera Unigene04026 transcribed RNA sequence-table6-Partitiviridae-HMM92-442_78.0-ORF13
seq363	>tsa-GEER01057425.1 TSA: Camellia reticulata CRD_FL_c60310_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM73-475_80.0-ORF14
seq364	>tsa-GEFQ01111886.1 TSA: Camellia sinensis comp296313_c0_seq1 transcribed RNA sequence-table6-Partitiviridae-HMM184-498_56.0-ORF20
seq365	>tsa-GFMU01091494.1 TSA: Camellia sinensis c189337.graph_c0 transcribed RNA sequence-table1-Partitiviridae-HMM11-103_88.0-ORF4
seq366	>tsa-GFMU01115646.1 TSA: Camellia sinensis c215091.graph_c0 transcribed RNA sequence-table1-Partitiviridae-HMM6-95_92.0-ORF4
seq367	>tsa-GCRZ01050929.1 TSA: Camellia taliensis CtaTrans56215 transcribed RNA sequence-table6-Partitiviridae-HMM73-357_79.0-ORF12
seq368	>tsa-GFTM01047220.1 TSA: Camontagnea oxyclada GWS016449_comp100527_c0_seq1 transcribed RNA sequence-table6-Partitiviridae-HMM177-502_59.0-ORF20
seq369	>tsa-GFTM01091227.1 TSA: Camontagnea oxyclada GWS016449_comp145329_c0_seq1 transcribed RNA sequence-table1-Partitiviridae-HMM5-276_84.0-ORF6
seq370	>tsa-GAXU01072625.1 TSA: Capsicum annuum Capsicum_annuum_Resistant_1363798seq1_len398 transcribed RNA sequence-table1-Partitiviridae-HMM1-83_62.0-ORF3
seq371	>tsa-GBHQ01020155.1 TSA: Cephalotaxus hainanensis comp6194_c0_seq1 transcribed RNA sequence-table6-Partitiviridae-HMM64-472_80.0-ORF19
seq372	>tsa-GEEY01015353.1 TSA: Cephus cinctus Ccin_ant_Roche_itg15881_gig06048_l657_nC1 transcribed RNA sequence-table6-Partitiviridae-HMM36-207_78.0-ORF10
seq373	>tsa-GEFD01014070.1 TSA: Cephus cinctus Ccin_body_2011_Ill_S10413_L15732_0_12.4_L transcribed RNA sequence-table6-Partitiviridae-HMM62-290_74.0-ORF144
seq374	>tsa-GEFG01013499.1 TSA: Cephus cinctus Ccin_ant_2013_Ill_c218791_c0_seq1 transcribed RNA sequence-table4-Partitiviridae-HMM7-282_85.0-ORF14
seq375	>tsa-GEFG01022027.1 TSA: Cephus cinctus Ccin_ant_2013_Ill_c28992_c1_seq1 transcribed RNA sequence-table6-Partitiviridae-HMM62-382_78.0-ORF117
seq376	>tsa-GEFG01064460.1 TSA: Cephus cinctus Ccin_ant_2013_Ill_c639454_c0_seq1 transcribed RNA sequence-table1-Partitiviridae-HMM9-69_77.0-ORF2
seq377	>tsa-GBVI01013678.1 (REVERSE SENSE) TSA: Cephus spinipes C65238_a_8_0_l_1609 transcribed RNA sequence-table4-Partitiviridae-HMM38-404_90.0-ORF46
seq378	>tsa-GBNS01016867.1 TSA: Cerceris arenaria s111_L_106_0_a_7_2_l_1627 transcribed RNA sequence-table4-Partitiviridae-HMM119-374_62.0-ORF14
seq379	>tsa-GBNS01016878.1 TSA: Cerceris arenaria s112_L_106_1_a_6_4_l_1403 transcribed RNA sequence-table4-Partitiviridae-HMM119-374_62.0-ORF14
seq380	>tsa-GBPN01005574.1 (REVERSE SENSE) TSA: Chelostoma florisomne C56441_a_6_0_l_381 transcribed RNA sequence-table1-Partitiviridae-HMM13-126_89.0-ORF8
seq381	>tsa-GBPN01009520.1 (REVERSE SENSE) TSA: Chelostoma florisomne C73784_a_4_0_l_792 transcribed RNA sequence-table1-Partitiviridae-HMM107-257_57.0-ORF21
seq382	>tsa-GAJS01017296.1 TSA: Chilo suppressalis Unigene17304_All transcribed RNA sequence-table4-Partitiviridae-HMM99-259_61.0-ORF8
seq383	>tsa-GBOE01012707.1 (REVERSE SENSE) TSA: Chlorion hirtum C72000_a_37_0_l_1803 transcribed RNA sequence-table6-Partitiviridae-HMM176-518_57.0-ORF42
seq384	>tsa-GACH01060784.1 (REVERSE SENSE) TSA: Chromolaena odorata Unigene70544_AA mRNA sequence-table6-Partitiviridae-HMM54-465_78.0-ORF44
seq385	>tsa-GACH01091465.1 TSA: Chromolaena odorata Unigene114354_AA mRNA sequence-table1-Partitiviridae-HMM14-109_77.0-ORF6
seq386	>tsa-GACH01134180.1 TSA: Chromolaena odorata Unigene174160_AA mRNA sequence-table1-Partitiviridae-HMM2-91_68.0-ORF5
seq387	>tsa-GAGF01035222.1 TSA: Chrysopa pallens Unigene55245_dacaoling transcribed RNA sequence-table1-Partitiviridae-HMM3-117_95.0-ORF6
seq388	>tsa-GAGF01038918.1 TSA: Chrysopa pallens Unigene66594_dacaoling transcribed RNA sequence-table6-Partitiviridae-HMM28-428_81.0-ORF15
seq389	>tsa-GFON01097695.1 TSA: Coilia nasus comp145578_c0_seq1 transcribed RNA sequence-table1-Partitiviridae-HMM1-169_98.0-ORF8
seq390	>tsa-GADH01007721.1 (REVERSE SENSE) TSA: Corydalinae sp. KMRSPBM-2012 contig08379 mRNA sequence-table4-Partitiviridae-HMM4-194_72.0-ORF21
seq391	>tsa-GBWG01015741.1 TSA: Crabro peltarius s4719_L_11111_0_a_26_3_l_1485 transcribed RNA sequence-table6-Partitiviridae-HMM60-435_75.0-ORF17
seq392	>tsa-IABS01034980.1 TSA: Crematogaster osakensis mRNA, contig: comp70104_c1_seq1.m.247377, transcribed RNA sequence-table6-Partitiviridae-HMM33-246_79.0-ORF10
seq393	>tsa-GECZ01013203.1 TSA: Cuerna arida TR22901_c1_g2_i1 transcribed RNA sequence-table6-Partitiviridae-HMM13-230_62.0-ORF10
seq394	>tsa-GAWM01018229.1 TSA: Culicoides sonorensis m.8371 transcribed RNA sequence-table6-Partitiviridae-HMM41-436_82.0-ORF11
seq395	>tsa-GFHX01001136.1 TSA: Dactylorhiza fuchsii fB1855_comp75423_c0_seq1 transcribed RNA sequence-table1-Partitiviridae-HMM1-77_97.0-ORF2
seq396	>tsa-GFHX01001837.1 TSA: Dactylorhiza fuchsii fB1855_comp79558_c0_seq1 transcribed RNA sequence-table4-Partitiviridae-HMM2-81_69.0-ORF3
seq397	>tsa-GFHX01009069.1 (REVERSE SENSE) TSA: Dactylorhiza fuchsii fB1855_comp120973_c0_seq1 transcribed RNA sequence-table4-Partitiviridae-HMM69-479_79.0-ORF45
seq398	>tsa-GFHX01010500.1 (REVERSE SENSE) TSA: Dactylorhiza fuchsii fB1855_comp123853_c0_seq1 transcribed RNA sequence-table1-Partitiviridae-HMM13-138_89.0-ORF9
seq399	>tsa-GFHX01016247.1 TSA: Dactylorhiza fuchsii fB1855_comp143290_c0_seq1 transcribed RNA sequence-table1-Partitiviridae-HMM3-78_88.0-ORF4
seq400	>tsa-GFHX01021385.1 (REVERSE SENSE) TSA: Dactylorhiza fuchsii fB1855_comp154132_c0_seq1 transcribed RNA sequence-table6-Partitiviridae-HMM1-159_80.0-ORF20
seq401	>tsa-GFHX01021386.1 (REVERSE SENSE) TSA: Dactylorhiza fuchsii fB1855_comp154132_c1_seq1 transcribed RNA sequence-table1-Partitiviridae-HMM4-212_98.0-ORF19
seq402	>tsa-GFHX01042280.1 (REVERSE SENSE) TSA: Dactylorhiza fuchsii fB1855_comp173231_c0_seq1 transcribed RNA sequence-table6-Partitiviridae-HMM77-464_83.0-ORF37
seq403	>tsa-GFHX01042599.1 TSA: Dactylorhiza fuchsii fB1855_comp173569_c0_seq1 transcribed RNA sequence-table1-Partitiviridae-HMM31-94_65.0-ORF5
seq404	>tsa-GFHX01049891.1 TSA: Dactylorhiza fuchsii fB1855_comp181420_c0_seq1 transcribed RNA sequence-table1-Partitiviridae-HMM32-106_69.0-ORF5
seq405	>tsa-GFJV01020300.1 (REVERSE SENSE) TSA: Dactylorhiza incarnata iS1908_comp192335_c0_seq2 transcribed RNA sequence-table6-Partitiviridae-HMM74-488_78.0-ORF44
seq406	>tsa-GFJV01029006.1 (REVERSE SENSE) TSA: Dactylorhiza incarnata iS1908_comp208454_c0_seq1 transcribed RNA sequence-table6-Partitiviridae-HMM16-322_94.0-ORF37
seq407	>tsa-GFJV01038918.1 TSA: Dactylorhiza incarnata iS1908_comp218891_c0_seq1 transcribed RNA sequence-table4-Partitiviridae-HMM123-457_70.0-ORF17
seq408	>tsa-GFJV01048413.1 (REVERSE SENSE) TSA: Dactylorhiza incarnata iS1908_comp222872_c0_seq1 transcribed RNA sequence-table6-Partitiviridae-HMM85-501_78.0-ORF38
seq409	>tsa-GFOY01009370.1 (REVERSE SENSE) TSA: Daiswa yunnanensis CL14251.Contig1_All transcribed RNA sequence-table6-Partitiviridae-HMM89-498_72.0-ORF44
seq410	>tsa-GFOY01009371.1 TSA: Daiswa yunnanensis CL14251.Contig2_All transcribed RNA sequence-table6-Partitiviridae-HMM91-359_50.0-ORF11
seq411	>tsa-GFOY01009372.1 TSA: Daiswa yunnanensis CL14251.Contig3_All transcribed RNA sequence-table6-Partitiviridae-HMM93-502_74.0-ORF12
seq412	>tsa-GFOY01019279.1 TSA: Daiswa yunnanensis CL19250.Contig1_All transcribed RNA sequence-table6-Partitiviridae-HMM87-491_73.0-ORF15
seq413	>tsa-GFOY01073595.1 (REVERSE SENSE) TSA: Daiswa yunnanensis Unigene35858_All transcribed RNA sequence-table6-Partitiviridae-HMM64-546_75.0-ORF50
seq414	>tsa-GBOQ01010763.1 (REVERSE SENSE) TSA: Dasymutilla gloriosa C59707_a_7_0_l_538 transcribed RNA sequence-table6-Partitiviridae-HMM3-112_73.0-ORF18
seq415	>tsa-GBMP01013104.1 (REVERSE SENSE) TSA: Dasypoda hirtipes C66881_a_22_0_l_1278 transcribed RNA sequence-table4-Partitiviridae-HMM2-165_71.0-ORF27
seq416	>tsa-GBMP01016397.1 (REVERSE SENSE) TSA: Dasypoda hirtipes s1019_L_1271_2_a_17_1_l_1123 transcribed RNA sequence-table6-Partitiviridae-HMM231-360_34.0-ORF22
seq417	>tsa-GBLL01020596.1 (REVERSE SENSE) TSA: Dendrocerus carpenteri s4195_L_10290_0_a_13_6_l_1469 transcribed RNA sequence-table6-Partitiviridae-HMM149-454_62.0-ORF34
seq418	>tsa-GBOS01024340.1 TSA: Dendrocerus carpenteri C91987_a_4_0_l_962 transcribed RNA sequence-table6-Partitiviridae-HMM1-203_63.0-ORF13
seq419	>tsa-GDAR01013422.1 TSA: Dendroctonus ponderosae Dpon-CLC-20141217_contig_67100 transcribed RNA sequence-table1-Partitiviridae-HMM1-132_81.0-ORF5
seq420	>tsa-GDAR01015087.1 (REVERSE SENSE) TSA: Dendroctonus ponderosae Dpon-CLC-20141217_contig_75105 transcribed RNA sequence-table1-Partitiviridae-HMM79-269_68.0-ORF22
seq421	>tsa-GDAR01016637.1 (REVERSE SENSE) TSA: Dendroctonus ponderosae Dpon-CLC-20141217_contig_78213 transcribed RNA sequence-table1-Partitiviridae-HMM18-97_74.0-ORF10
seq422	>tsa-GDAR01016914.1 TSA: Dendroctonus ponderosae Dpon-CLC-20141217_contig_78605 transcribed RNA sequence-table1-Partitiviridae-HMM14-287_94.0-ORF13
seq423	>tsa-GDAR01017185.1 TSA: Dendroctonus ponderosae Dpon-CLC-20141217_contig_78982 transcribed RNA sequence-table1-Partitiviridae-HMM69-301_55.0-ORF12
seq424	>tsa-GDAR01024902.1 (REVERSE SENSE) TSA: Dendroctonus ponderosae Dpon-CLC-20141217_contig_93209 transcribed RNA sequence-table1-Partitiviridae-HMM51-289_62.0-ORF33
seq425	>tsa-GDAR01025008.1 (REVERSE SENSE) TSA: Dendroctonus ponderosae Dpon-CLC-20141217_contig_93380 transcribed RNA sequence-table1-Partitiviridae-HMM112-332_59.0-ORF33
seq426	>tsa-GDAR01025075.1 (REVERSE SENSE) TSA: Dendroctonus ponderosae Dpon-CLC-20141217_contig_93493 transcribed RNA sequence-table1-Partitiviridae-HMM18-221_62.0-ORF26
seq427	>tsa-GDAR01025148.1 (REVERSE SENSE) TSA: Dendroctonus ponderosae Dpon-CLC-20141217_contig_93616 transcribed RNA sequence-table1-Partitiviridae-HMM111-324_65.0-ORF29
seq428	>tsa-GDAR01025203.1 (REVERSE SENSE) TSA: Dendroctonus ponderosae Dpon-CLC-20141217_contig_93750 transcribed RNA sequence-table1-Partitiviridae-HMM94-224_56.0-ORF23
seq429	>tsa-GDAR01025970.1 TSA: Dendroctonus ponderosae Dpon-CLC-20141217_contig_95706 transcribed RNA sequence-table1-Partitiviridae-HMM144-316_42.0-ORF14
seq430	>tsa-GELG01029317.1 (REVERSE SENSE) TSA: Diachasmimorpha longicaudata HWR9CMJ02H9EQV transcribed RNA sequence-table1-Partitiviridae-HMM15-120_76.0-ORF11
seq431	>tsa-GBCR01033297.1 TSA: Dioscorea zingiberensis comp36068_c0_seq1 transcribed RNA sequence-table6-Partitiviridae-HMM71-487_82.0-ORF15
seq432	>tsa-GBSJ01072698.1 (REVERSE SENSE) TSA: Diospyros lotus Contig75468DeNovoAssembly transcribed RNA sequence-table1-Partitiviridae-HMM4-73_89.0-ORF7
seq433	>tsa-GBSJ01098967.1 TSA: Diospyros lotus Contig103120DeNovoAssembly transcribed RNA sequence-table6-Partitiviridae-HMM62-479_82.0-ORF18
seq434	>tsa-GBPP01019538.1 TSA: Dioxys cincta C98869_a_26_0_l_1690 transcribed RNA sequence-table6-Partitiviridae-HMM167-490_59.0-ORF20
seq435	>tsa-GENH01029612.1 TSA: Dryadaula visaliella k54_463946 transcribed RNA sequence-table6-Partitiviridae-HMM514-819_34.0-ORF38
seq436	>tsa-GENH01031901.1 (REVERSE SENSE) TSA: Dryadaula visaliella k54_484457 transcribed RNA sequence-table6-Partitiviridae-HMM514-709_27.0-ORF71
seq437	>tsa-GENH01032155.1 TSA: Dryadaula visaliella k54_487132 transcribed RNA sequence-table6-Partitiviridae-HMM514-818_34.0-ORF34
seq438	>tsa-GENH01041550.1 TSA: Dryadaula visaliella k58_400457 transcribed RNA sequence-table6-Partitiviridae-HMM514-819_34.0-ORF35
seq439	>tsa-GENH01043693.1 (REVERSE SENSE) TSA: Dryadaula visaliella k58_421636 transcribed RNA sequence-table6-Partitiviridae-HMM514-818_34.0-ORF106
seq440	>tsa-GENH01088899.1 (REVERSE SENSE) TSA: Dryadaula visaliella k66_596871 transcribed RNA sequence-table6-Partitiviridae-HMM514-818_34.0-ORF112
seq441	>tsa-GENH01095405.1 TSA: Dryadaula visaliella k68_538090 transcribed RNA sequence-table6-Partitiviridae-HMM514-819_34.0-ORF39
seq442	>tsa-GENH01106292.1 TSA: Dryadaula visaliella k72_446556 transcribed RNA sequence-table6-Partitiviridae-HMM514-819_34.0-ORF39
seq443	>tsa-GENH01108570.1 (REVERSE SENSE) TSA: Dryadaula visaliella k72_457479 transcribed RNA sequence-table6-Partitiviridae-HMM514-818_34.0-ORF112
seq444	>tsa-GENH01117470.1 TSA: Dryadaula visaliella k76_356918 transcribed RNA sequence-table6-Partitiviridae-HMM514-819_34.0-ORF38
seq445	>tsa-GENH01120425.1 TSA: Dryadaula visaliella k76_378483 transcribed RNA sequence-table6-Partitiviridae-HMM514-818_34.0-ORF38
seq446	>tsa-GENH01133936.1 (REVERSE SENSE) TSA: Dryadaula visaliella k82_273993 transcribed RNA sequence-table6-Partitiviridae-HMM514-819_34.0-ORF112
seq447	>tsa-GENH01134719.1 TSA: Dryadaula visaliella k82_278206 transcribed RNA sequence-table6-Partitiviridae-HMM514-818_34.0-ORF39
seq448	>tsa-GENH01143194.1 (REVERSE SENSE) TSA: Dryadaula visaliella k88_100752 transcribed RNA sequence-table1-Partitiviridae-HMM2-166_94.0-ORF14
seq449	>tsa-GENH01144219.1 TSA: Dryadaula visaliella k88_184627 transcribed RNA sequence-table6-Partitiviridae-HMM514-709_27.0-ORF32
seq450	>tsa-GENH01151799.1 (REVERSE SENSE) TSA: Dryadaula visaliella k94_97216 transcribed RNA sequence-table1-Partitiviridae-HMM28-197_85.0-ORF18
seq451	>tsa-GEOD01071323.1 TSA: Dryadaula visaliella c41587_g5_i1 transcribed RNA sequence-table6-Partitiviridae-HMM514-794_35.0-ORF36
seq452	>tsa-GEOC01024802.1 (REVERSE SENSE) TSA: Dyseriocrania griseocapitella TR18752-c0_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM3-111_71.0-ORF19
seq453	>tsa-GBRM01095328.1 (REVERSE SENSE) TSA: Elysia timida Eti009905_seq1 transcribed RNA sequence-table6-Partitiviridae-HMM104-380_54.0-ORF43
seq454	>tsa-GBRM01095329.1 (REVERSE SENSE) TSA: Elysia timida Eti009905_seq2 transcribed RNA sequence-table6-Partitiviridae-HMM214-487_44.0-ORF53
seq455	>tsa-GBRM01095330.1 (REVERSE SENSE) TSA: Elysia timida Eti009905_seq3 transcribed RNA sequence-table6-Partitiviridae-HMM104-380_50.0-ORF42
seq456	>tsa-GBRM01095331.1 (REVERSE SENSE) TSA: Elysia timida Eti009905_seq4 transcribed RNA sequence-table6-Partitiviridae-HMM8-241_57.0-ORF34
seq457	>tsa-GEOE01237777.1 (REVERSE SENSE) TSA: Enteucha acetosae TR201172-c0_g1_i1 transcribed RNA sequence-table1-Partitiviridae-HMM21-274_91.0-ORF20
seq458	>tsa-GENB01018519.1 TSA: Entomophthora muscae c13040_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM205-472_45.0-ORF17
seq459	>tsa-GENB01018520.1 TSA: Entomophthora muscae c13040_g1_i2 transcribed RNA sequence-table6-Partitiviridae-HMM194-461_46.0-ORF17
seq460	>tsa-GENB01038534.1 (REVERSE SENSE) TSA: Entomophthora muscae c27803_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM2-89_55.0-ORF11
seq461	>tsa-GEND01038858.1 (REVERSE SENSE) TSA: Entomophthora muscae c23876_g1_i1 transcribed RNA sequence-table1-Partitiviridae-HMM1-139_99.0-ORF10
seq462	>tsa-GAUK02016129.1 TSA: Ephemera danica C157656_a_44_0_l_2129 transcribed RNA sequence-table6-Partitiviridae-HMM67-557_69.0-ORF15
seq463	>tsa-GBQL01007115.1 TSA: Episyron rufipes C57514_a_10_0_l_566 transcribed RNA sequence-table4-Partitiviridae-HMM1-145_88.0-ORF8
seq464	>tsa-GBPG01016739.1 (REVERSE SENSE) TSA: Eucera nigrescens C71801_a_3_0_l_494 transcribed RNA sequence-table1-Partitiviridae-HMM1-139_84.0-ORF13
seq465	>tsa-GBLZ01004952.1 (REVERSE SENSE) TSA: Eucera syriaca C46227_a_4_0_l_205 transcribed RNA sequence-table1-Partitiviridae-HMM3-67_95.0-ORF9
seq466	>tsa-GBLZ01017419.1 TSA: Eucera syriaca C92688_a_4_0_l_586 transcribed RNA sequence-table1-Partitiviridae-HMM1-195_99.0-ORF9
seq467	>tsa-GBLZ01018616.1 TSA: Eucera syriaca C97991_a_12_0_l_685 transcribed RNA sequence-table1-Partitiviridae-HMM6-132_55.0-ORF11
seq468	>tsa-GBNP01016774.1 (REVERSE SENSE) TSA: Euglossa dilemma C79725_a_4_0_l_444 transcribed RNA sequence-table4-Partitiviridae-HMM17-127_74.0-ORF10
seq469	>tsa-GBNP01025422.1 TSA: Euglossa dilemma s376_L_390_0_a_12_3_l_2136 transcribed RNA sequence-table6-Partitiviridae-HMM53-155_55.0-ORF19
seq470	>tsa-GBNP01025455.1 TSA: Euglossa dilemma s379_L_390_3_a_9_6_l_1908 transcribed RNA sequence-table6-Partitiviridae-HMM53-155_55.0-ORF17
seq471	>tsa-GETW01005039.1 (REVERSE SENSE) TSA: Euphorbia tirucalli c10233 transcribed RNA sequence-table6-Partitiviridae-HMM59-468_76.0-ORF34
seq472	>tsa-GBXZ01002308.1 (REVERSE SENSE) TSA: Festuca pratensis F.pratensis2708_c0_seq1 transcribed RNA sequence-table6-Partitiviridae-HMM345-502_18.0-ORF78
seq473	>tsa-GBYB01002368.1 TSA: Fopius arisanus c19397_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM145-448_52.0-ORF17
seq474	>tsa-GAGV01018884.1 (REVERSE SENSE) TSA: Fritillaria cirrhosa contig25796 transcribed RNA sequence-table6-Partitiviridae-HMM39-162_68.0-ORF11
seq475	>tsa-GAJR01012857.1 (REVERSE SENSE) TSA: Gentiana macrophylla Unigene12860 transcribed RNA sequence-table1-Partitiviridae-HMM1-87_97.0-ORF9
seq476	>tsa-GEZJ01006351.1 (REVERSE SENSE) TSA: Gracilaria chilensis GChilensis_contig_0006360 transcribed RNA sequence-table4-Partitiviridae-HMM363-596_25.0-ORF78
seq477	>tsa-GEBQ01019005.1 TSA: Graphocephala atropunctata TR11131_c1_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM45-303_84.0-ORF13
seq478	>tsa-GAWP02039322.1 (REVERSE SENSE) TSA: Grylloblatta bifratrilecta s3699_L_4973_1_a_29_6_l_2923 transcribed RNA sequence-table6-Partitiviridae-HMM10-257_86.0-ORF55
seq479	>tsa-GALQ01000525.1 TSA: gut metagenome Locus122043v1rpkm7.12 transcribed RNA sequence-table1-Partitiviridae-HMM1-123_73.0-ORF4
seq480	>tsa-GALQ01017740.1 (REVERSE SENSE) TSA: gut metagenome Locus69773v1rpkm12.28 transcribed RNA sequence-table1-Partitiviridae-HMM116-206_43.0-ORF21
seq481	>tsa-GALQ01020649.1 (REVERSE SENSE) TSA: gut metagenome Locus46381v1rpkm16.90 transcribed RNA sequence-table1-Partitiviridae-HMM42-173_59.0-ORF18
seq482	>tsa-GALQ01021019.1 (REVERSE SENSE) TSA: gut metagenome Locus27943v1rpkm24.62 transcribed RNA sequence-table6-Partitiviridae-HMM70-553_78.0-ORF44
seq483	>tsa-GALQ01022432.1 (REVERSE SENSE) TSA: gut metagenome Locus4607v1rpkm91.39 transcribed RNA sequence-table6-Partitiviridae-HMM72-559_78.0-ORF38
seq484	>tsa-GALQ01032359.1 TSA: gut metagenome Locus72650v1rpkm11.85 transcribed RNA sequence-table1-Partitiviridae-HMM3-146_89.0-ORF5
seq485	>tsa-GALQ01060598.1 (REVERSE SENSE) TSA: gut metagenome Locus4979v1rpkm86.56 transcribed RNA sequence-table6-Partitiviridae-HMM224-450_39.0-ORF52
seq486	>tsa-GALQ01065740.1 (REVERSE SENSE) TSA: gut metagenome Locus74102v1rpkm11.65 transcribed RNA sequence-table1-Partitiviridae-HMM38-224_71.0-ORF21
seq487	>tsa-GALQ01085110.1 (REVERSE SENSE) TSA: gut metagenome Locus2912v1rpkm123.83 transcribed RNA sequence-table6-Partitiviridae-HMM181-454_50.0-ORF45
seq488	>tsa-GALQ01092209.1 TSA: gut metagenome Locus134006v1rpkm6.29 transcribed RNA sequence-table1-Partitiviridae-HMM28-119_70.0-ORF5
seq489	>tsa-GALT01056960.1 TSA: gut metagenome Locus23533v1rpkm22.79 transcribed RNA sequence-table4-Partitiviridae-HMM162-402_48.0-ORF19
seq490	>tsa-GALT01081309.1 TSA: gut metagenome Locus19072v1rpkm26.82 transcribed RNA sequence-table6-Partitiviridae-HMM70-553_78.0-ORF17
seq491	>tsa-GALT01086833.1 (REVERSE SENSE) TSA: gut metagenome Locus3909v1rpkm86.45 transcribed RNA sequence-table6-Partitiviridae-HMM72-559_77.0-ORF39
seq492	>tsa-GALT01096122.1 (REVERSE SENSE) TSA: gut metagenome Locus25277v1rpkm21.59 transcribed RNA sequence-table4-Partitiviridae-HMM172-431_48.0-ORF49
seq493	>tsa-GEAU01245031.1 (REVERSE SENSE) TSA: Haliotis tuberculata TR172411_c0_g1_i1 transcribed RNA sequence-table1-Partitiviridae-HMM2-180_96.0-ORF15
