seq1	>ref-NC_004049.1 Ophiostoma mitovirus 3a, complete genome-table4-Narnaviridae-HMM157-525_50.0-ORF27
seq320	>tsa-GFHX01003478.1 TSA: Dactylorhiza fuchsii fB1855_comp82358_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM19-176_47.0-ORF13
seq321	>tsa-GFHX01032339.1 (REVERSE SENSE) TSA: Dactylorhiza fuchsii fB1855_comp168297_c0_seq1 transcribed RNA sequence-table6-Narnaviridae-HMM47-301_70.0-ORF29
seq322	>tsa-GFJV01021844.1 TSA: Dactylorhiza incarnata iS1908_comp195390_c1_seq1 transcribed RNA sequence-table1-Narnaviridae-HMM4-84_64.0-ORF5
seq323	>tsa-GBDN01010918.1 TSA: Dahlia pinnata Locus_11652_Transcript_1/1_Confidence_1.000_Length_2684 transcribed RNA sequence-table6-Narnaviridae-HMM298-585_35.0-ORF29
seq324	>tsa-GFOY01020046.1 (REVERSE SENSE) TSA: Daiswa yunnanensis CL19649.Contig1_All transcribed RNA sequence-table6-Narnaviridae-HMM40-176_33.0-ORF174
seq325	>tsa-GFOY01051785.1 (REVERSE SENSE) TSA: Daiswa yunnanensis Unigene10466_All transcribed RNA sequence-table6-Narnaviridae-HMM329-591_29.0-ORF166
seq326	>tsa-GFOY01080326.1 (REVERSE SENSE) TSA: Daiswa yunnanensis Unigene46785_All transcribed RNA sequence-table4-Narnaviridae-HMM51-146_62.0-ORF17
seq327	>tsa-GFOY01088086.1 TSA: Daiswa yunnanensis Unigene8463_All transcribed RNA sequence-table6-Narnaviridae-HMM39-117_43.0-ORF60
seq328	>tsa-GFPJ01024133.1 (REVERSE SENSE) TSA: Daiswa yunnanensis CL19649.Contig1_All transcribed RNA sequence-table6-Narnaviridae-HMM40-176_33.0-ORF174
seq329	>tsa-GFPJ01062597.1 (REVERSE SENSE) TSA: Daiswa yunnanensis Unigene10466_All transcribed RNA sequence-table6-Narnaviridae-HMM329-591_29.0-ORF166
seq330	>tsa-GFPJ01107414.1 (REVERSE SENSE) TSA: Daiswa yunnanensis Unigene46785_All transcribed RNA sequence-table4-Narnaviridae-HMM51-146_62.0-ORF17
seq331	>tsa-GFPJ01125261.1 TSA: Daiswa yunnanensis Unigene8463_All transcribed RNA sequence-table6-Narnaviridae-HMM39-117_43.0-ORF60
seq332	>tsa-GBJW01055674.1 (REVERSE SENSE) TSA: Dioscorea composita comp55719_c0_seq3 transcribed RNA sequence-table6-Narnaviridae-HMM31-68_47.0-ORF89
seq333	>tsa-GBJW01055678.1 (REVERSE SENSE) TSA: Dioscorea composita comp55719_c0_seq7 transcribed RNA sequence-table6-Narnaviridae-HMM31-68_47.0-ORF54
seq334	>tsa-GBJW01055680.1 (REVERSE SENSE) TSA: Dioscorea composita comp55719_c0_seq9 transcribed RNA sequence-table6-Narnaviridae-HMM31-68_47.0-ORF97
seq335	>tsa-GBJW01055681.1 (REVERSE SENSE) TSA: Dioscorea composita comp55719_c0_seq10 transcribed RNA sequence-table6-Narnaviridae-HMM31-68_47.0-ORF62
seq336	>tsa-GBJW01111662.1 TSA: Dioscorea composita comp263191_c0_seq1 transcribed RNA sequence-table6-Narnaviridae-HMM33-129_27.0-ORF27
seq337	>tsa-GBJW01112249.1 (REVERSE SENSE) TSA: Dioscorea composita comp323145_c0_seq1 transcribed RNA sequence-table6-Narnaviridae-HMM31-123_34.0-ORF25
seq338	>tsa-GBJW01124879.1 TSA: Dioscorea composita comp994069_c0_seq1 transcribed RNA sequence-table1-Narnaviridae-HMM3-72_95.0-ORF2
seq339	>tsa-GAJH01044412.1 (REVERSE SENSE) TSA: Elaeis guineensis isotig44349 transcribed RNA sequence-table4-Narnaviridae-HMM4-58_15.0-ORF32
seq340	>tsa-GAJH01058530.1 TSA: Elaeis guineensis isotig58575 transcribed RNA sequence-table4-Narnaviridae-HMM48-145_63.0-ORF10
seq341	>tsa-GALF01016517.1 (REVERSE SENSE) TSA: Enchytraeus crypticus contig18898 transcribed RNA sequence-table6-Narnaviridae-HMM180-350_48.0-ORF24
seq342	>tsa-GEMZ01003603.1 TSA: Entomophthora muscae comp6684_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM139-510_48.0-ORF30
seq343	>tsa-GEMZ01006022.1 (REVERSE SENSE) TSA: Entomophthora muscae comp11142_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM170-501_46.0-ORF67
seq344	>tsa-GEMZ01006112.1 TSA: Entomophthora muscae comp11267_c0_seq1 transcribed RNA sequence-table1-Narnaviridae-HMM2-169_98.0-ORF16
seq345	>tsa-GEMZ01008256.1 TSA: Entomophthora muscae comp13972_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM187-489_40.0-ORF31
seq346	>tsa-GEMZ01011847.1 (REVERSE SENSE) TSA: Entomophthora muscae comp17609_c0_seq1 transcribed RNA sequence-table1-Narnaviridae-HMM2-101_97.0-ORF68
seq347	>tsa-GEMZ01021189.1 (REVERSE SENSE) TSA: Entomophthora muscae comp26290_c0_seq1 transcribed RNA sequence-table1-Narnaviridae-HMM6-71_91.0-ORF45
seq348	>tsa-GENA01003603.1 TSA: Entomophthora muscae comp6684_c0_seq1 transcribed RNA sequence-table1-Narnaviridae-HMM1-85_95.0-ORF24
seq349	>tsa-GENA01006022.1 (REVERSE SENSE) TSA: Entomophthora muscae comp11142_c0_seq1 transcribed RNA sequence-table1-Narnaviridae-HMM2-73_97.0-ORF60
seq350	>tsa-GENA01006112.1 TSA: Entomophthora muscae comp11267_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM146-492_48.0-ORF28
seq351	>tsa-GENA01008256.1 TSA: Entomophthora muscae comp13972_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM187-489_40.0-ORF31
seq352	>tsa-GENA01008924.1 TSA: Entomophthora muscae comp14698_c0_seq1 transcribed RNA sequence-table1-Narnaviridae-HMM18-151_88.0-ORF15
seq353	>tsa-GENA01011847.1 (REVERSE SENSE) TSA: Entomophthora muscae comp17609_c0_seq1 transcribed RNA sequence-table1-Narnaviridae-HMM2-101_97.0-ORF68
seq354	>tsa-GENA01021189.1 (REVERSE SENSE) TSA: Entomophthora muscae comp26290_c0_seq1 transcribed RNA sequence-table1-Narnaviridae-HMM1-128_97.0-ORF49
seq355	>tsa-GENC01000459.1 (REVERSE SENSE) TSA: Entomophthora muscae c416_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM295-589_31.0-ORF50
seq356	>tsa-GENC01036720.1 TSA: Entomophthora muscae c23041_g1_i1 transcribed RNA sequence-table4-Narnaviridae-HMM1-69_98.0-ORF4
seq357	>tsa-GEND01007370.1 (REVERSE SENSE) TSA: Entomophthora muscae c6488_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM295-589_31.0-ORF50
seq358	>tsa-GEND01018947.1 (REVERSE SENSE) TSA: Entomophthora muscae c13047_g1_i1 transcribed RNA sequence-table1-Narnaviridae-HMM1-69_98.0-ORF64
seq359	>tsa-GEMW01003553.1 TSA: Epipremnum aureum Hung_BK_HHPZ7ZB01_(single)_contig_3664 transcribed RNA sequence-table4-Narnaviridae-HMM5-79_75.0-ORF18
seq360	>tsa-GEMW01030864.1 TSA: Epipremnum aureum Hung_BK_HHPZ7ZB01_(single)_contig_31175 transcribed RNA sequence-table4-Narnaviridae-HMM2-97_97.0-ORF9
seq361	>tsa-GDQF01116002.1 (REVERSE SENSE) TSA: Erigeron breviscapus c70096_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM393-650_28.0-ORF70
seq362	>tsa-HADB01031689.1 (REVERSE SENSE) TSA: Fagus sylvatica, contig fasyl_0684438, transcribed RNA sequence-table1-Narnaviridae-HMM1-65_67.0-ORF11
seq363	>tsa-HADB01092637.1 TSA: Fagus sylvatica, contig fasyl_2008000, transcribed RNA sequence-table6-Narnaviridae-HMM1-64_87.0-ORF3
seq364	>tsa-HADB01115656.1 TSA: Fagus sylvatica, contig fasyl_2510663, transcribed RNA sequence-table1-Narnaviridae-HMM21-80_71.0-ORF2
seq365	>tsa-GAYT01016537.1 (REVERSE SENSE) TSA: Ficus carica isotig16444 transcribed RNA sequence-table4-Narnaviridae-HMM66-115_42.0-ORF14
seq366	>tsa-GAYT01024189.1 (REVERSE SENSE) TSA: Ficus carica GLN2OWZ01CI0GA transcribed RNA sequence-table6-Narnaviridae-HMM10-66_84.0-ORF5
seq367	>tsa-GAYT01025207.1 (REVERSE SENSE) TSA: Ficus carica GLN2OWZ02DHW9G transcribed RNA sequence-table4-Narnaviridae-HMM39-128_68.0-ORF10
seq368	>tsa-GAYT01031750.1 TSA: Ficus carica GLN2OWZ03GETRH transcribed RNA sequence-table1-Narnaviridae-HMM17-101_82.0-ORF4
seq369	>tsa-GAYT01042467.1 (REVERSE SENSE) TSA: Ficus carica GMFT9DJ06G7B23 transcribed RNA sequence-table6-Narnaviridae-HMM10-66_84.0-ORF5
seq370	>tsa-GDKC01020329.1 TSA: Ficus carica Unigene7477_All transcribed RNA sequence-table1-Narnaviridae-HMM71-339_61.0-ORF14
seq371	>tsa-GDKC01030935.1 TSA: Ficus carica Unigene25612_All transcribed RNA sequence-table1-Narnaviridae-HMM1-68_95.0-ORF3
seq372	>tsa-GAJR01024831.1 TSA: Gentiana macrophylla Unigene24841 transcribed RNA sequence-table1-Narnaviridae-HMM12-86_86.0-ORF5
seq373	>tsa-HAGH01073884.1 (REVERSE SENSE) TSA: Geranium robertianum, contig Grob_comp13148_c0_seq1, transcribed RNA sequence-table4-Narnaviridae-HMM52-113_39.0-ORF64
seq374	>tsa-HAGH01080733.1 (REVERSE SENSE) TSA: Geranium robertianum, contig Grob_comp14108_c0_seq1, transcribed RNA sequence-table4-Narnaviridae-HMM13-149_70.0-ORF25
seq375	>tsa-HAGH01197611.1 TSA: Geranium robertianum, contig Grob_comp78140_c0_seq1, transcribed RNA sequence-table6-Narnaviridae-HMM27-102_54.0-ORF4
seq376	>tsa-GACN01015670.1 TSA: Gerbera hybrid cultivar CL7088.Contig1_P1 mRNA sequence-table6-Narnaviridae-HMM6-206_42.0-ORF28
seq377	>tsa-GEAC01124048.1 (REVERSE SENSE) TSA: Gevuina avellana Gavel_contig_124188 transcribed RNA sequence-table4-Narnaviridae-HMM32-191_76.0-ORF19
seq378	>tsa-GEAC01168977.1 (REVERSE SENSE) TSA: Gevuina avellana Gavel_contig_169183 transcribed RNA sequence-table4-Narnaviridae-HMM1-82_95.0-ORF8
seq379	>tsa-GBYF01045601.1 (REVERSE SENSE) TSA: Gigaspora margarita comp33086_c0_seq1 transcribed RNA sequence-table6-Narnaviridae-HMM312-571_29.0-ORF63
seq380	>tsa-GBYF01050725.1 (REVERSE SENSE) TSA: Gigaspora margarita comp34036_c0_seq1 transcribed RNA sequence-table6-Narnaviridae-HMM448-695_23.0-ORF78
seq381	>tsa-GBYF01053807.1 TSA: Gigaspora margarita comp34470_c0_seq1 transcribed RNA sequence-table6-Narnaviridae-HMM500-771_26.0-ORF35
seq382	>tsa-GBYF01057330.1 TSA: Gigaspora margarita comp34875_c0_seq1 transcribed RNA sequence-table6-Narnaviridae-HMM506-778_26.0-ORF27
seq383	>tsa-GBYF01071068.1 (REVERSE SENSE) TSA: Gigaspora margarita comp36178_c2_seq1 transcribed RNA sequence-table6-Narnaviridae-HMM605-829_21.0-ORF69
seq384	>tsa-GCKC01059190.1 TSA: Gleditsia sinensis Gs41675_c0_seq1 transcribed RNA sequence-table6-Narnaviridae-HMM338-547_28.0-ORF33
seq385	>tsa-GFIK01043228.1 TSA: Gnathonemus petersii B2GP_RDRP.1.1 transcribed RNA sequence-table4-Narnaviridae-HMM381-632_25.0-ORF37
seq386	>tsa-GBYK01001589.1 (REVERSE SENSE) TSA: Gossypium arboreum UAcontig18616 transcribed RNA sequence-table6-Narnaviridae-HMM2-71_50.0-ORF8
seq387	>tsa-GALV01009664.1 (REVERSE SENSE) TSA: Gossypium hirsutum Tm1_Mira454_Contig_1870 transcribed RNA sequence-table6-Narnaviridae-HMM15-93_22.0-ORF49
seq388	>tsa-GEZJ01006036.1 TSA: Gracilaria chilensis GChilensis_contig_0006043 transcribed RNA sequence-table4-Narnaviridae-HMM344-554_25.0-ORF29
seq389	>tsa-GEZJ01008596.1 (REVERSE SENSE) TSA: Gracilaria chilensis GChilensis_contig_0008613 transcribed RNA sequence-table4-Narnaviridae-HMM18-119_84.0-ORF13
seq390	>tsa-GAWP02043285.1 TSA: Grylloblatta bifratrilecta s7272_L_13231_0_a_4_1_l_449 transcribed RNA sequence-table1-Narnaviridae-HMM27-115_74.0-ORF6
seq391	>tsa-GALQ01017291.1 TSA: gut metagenome Locus2281v1rpkm145.78 transcribed RNA sequence-table6-Narnaviridae-HMM170-433_38.0-ORF20
seq392	>tsa-GALQ01054779.1 TSA: gut metagenome Locus42021v1rpkm18.23 transcribed RNA sequence-table1-Narnaviridae-HMM7-113_82.0-ORF4
seq393	>tsa-GALQ01063916.1 (REVERSE SENSE) TSA: gut metagenome Locus32645v1rpkm21.96 transcribed RNA sequence-table1-Narnaviridae-HMM204-297_27.0-ORF32
seq394	>tsa-GALT01021984.1 (REVERSE SENSE) TSA: gut metagenome Locus9115v1rpkm46.68 transcribed RNA sequence-table6-Narnaviridae-HMM3-130_30.0-ORF32
seq395	>tsa-GALT01029209.1 (REVERSE SENSE) TSA: gut metagenome Locus24487v1rpkm22.12 transcribed RNA sequence-table1-Narnaviridae-HMM161-321_48.0-ORF25
seq396	>tsa-GALT01030506.1 TSA: gut metagenome Locus26054v1rpkm21.10 transcribed RNA sequence-table1-Narnaviridae-HMM46-164_71.0-ORF6
seq397	>tsa-GALT01076586.1 TSA: gut metagenome Locus11523v1rpkm39.16 transcribed RNA sequence-table4-Narnaviridae-HMM255-487_28.0-ORF23
seq398	>tsa-HAHB01092952.1 TSA: Haliclystus sanjuanensis, contig Hsan.92952, transcribed RNA sequence-table4-Narnaviridae-HMM1-73_91.0-ORF4
seq399	>tsa-GEWS01044355.1 TSA: Helianthus niveus Sampletranscript1173 transcribed RNA sequence-table4-Narnaviridae-HMM134-485_66.0-ORF24
seq400	>tsa-GEWS01057603.1 (REVERSE SENSE) TSA: Helianthus niveus Sampletranscript14421 transcribed RNA sequence-table6-Narnaviridae-HMM184-397_27.0-ORF49
seq401	>tsa-GEWS01060618.1 (REVERSE SENSE) TSA: Helianthus niveus Sampletranscript17436 transcribed RNA sequence-table6-Narnaviridae-HMM6-197_41.0-ORF44
seq402	>tsa-GEWS01086490.1 TSA: Helianthus niveus Sampletranscript43308 transcribed RNA sequence-table1-Narnaviridae-HMM16-150_66.0-ORF6
seq403	>tsa-GBTA01004534.1 TSA: Helicoverpa assulta m.9084 transcribed RNA sequence-table1-Narnaviridae-HMM153-374_35.0-ORF21
seq404	>tsa-GAVP01010467.1 (REVERSE SENSE) TSA: Henricia sp. AR-2014 AMR0023.18963.0.1 transcribed RNA sequence-table4-Narnaviridae-HMM292-523_31.0-ORF68
seq405	>tsa-GFLH01017038.1 TSA: Heterosiphonia pulchra scaffold-YSBD-2004454-Heterosiphonia_pulchra transcribed RNA sequence-table4-Narnaviridae-HMM364-616_26.0-ORF36
seq406	>tsa-GDFU01015383.1 TSA: Hevea brasiliensis rt_contig_est_116056 transcribed RNA sequence-table4-Narnaviridae-HMM15-89_47.0-ORF4
seq407	>tsa-GDFU01105645.1 (REVERSE SENSE) TSA: Hevea brasiliensis rt_contig_est_88185 transcribed RNA sequence-table6-Narnaviridae-HMM7-92_60.0-ORF14
seq408	>tsa-GEIA01094891.1 TSA: Hevea brasiliensis c115934_g1 transcribed RNA sequence-table6-Narnaviridae-HMM19-82_74.0-ORF4
seq409	>tsa-GCHW01012278.1 (REVERSE SENSE) TSA: Hydractinia symbiolongicarpus Hydractinia_29665.0_Transcript_1/0_Confidence_4_Length_1084 transcribed RNA sequence-table4-Narnaviridae-HMM10-82_21.0-ORF28
seq410	>tsa-GCHW01014342.1 (REVERSE SENSE) TSA: Hydractinia symbiolongicarpus Hydractinia_31440.0_Transcript_1/0_Confidence_8_Length_1199 transcribed RNA sequence-table6-Narnaviridae-HMM219-384_41.0-ORF36
seq411	>tsa-GEVZ01044019.1 TSA: Hydra vulgaris HYRNA1402_37940 transcribed RNA sequence-table1-Narnaviridae-HMM25-108_76.0-ORF3
seq412	>tsa-GFNE01046070.1 (REVERSE SENSE) TSA: Idiosepius notoides comp48480_c0_seq1 transcribed RNA sequence-table6-Narnaviridae-HMM485-704_18.0-ORF51
seq413	>tsa-GCRV01021907.1 TSA: insect metagenome Unigene9295_All transcribed RNA sequence-table1-Narnaviridae-HMM209-453_41.0-ORF23
seq414	>tsa-GDAU01000009.1 (REVERSE SENSE) TSA: Isatis tinctoria IsiSA9 transcribed RNA sequence-table6-Narnaviridae-HMM226-488_46.0-ORF320
seq415	>tsa-GDAU01000011.1 (REVERSE SENSE) TSA: Isatis tinctoria IsiSA11 transcribed RNA sequence-table6-Narnaviridae-HMM226-488_46.0-ORF280
seq416	>tsa-GDAU01000012.1 (REVERSE SENSE) TSA: Isatis tinctoria IsiSA12 transcribed RNA sequence-table6-Narnaviridae-HMM226-488_46.0-ORF287
seq417	>tsa-GDAU01000018.1 (REVERSE SENSE) TSA: Isatis tinctoria IsiSA18 transcribed RNA sequence-table6-Narnaviridae-HMM226-488_46.0-ORF250
seq418	>tsa-GDAU01000134.1 (REVERSE SENSE) TSA: Isatis tinctoria IsiSA134 transcribed RNA sequence-table6-Narnaviridae-HMM226-488_46.0-ORF169
seq419	>tsa-GDAU01000159.1 (REVERSE SENSE) TSA: Isatis tinctoria IsiSA159 transcribed RNA sequence-table6-Narnaviridae-HMM226-488_46.0-ORF157
seq420	>tsa-GDAU01000219.1 (REVERSE SENSE) TSA: Isatis tinctoria IsiSA219 transcribed RNA sequence-table6-Narnaviridae-HMM226-488_46.0-ORF140
seq421	>tsa-GDAU01000603.1 (REVERSE SENSE) TSA: Isatis tinctoria IsiSA603 transcribed RNA sequence-table6-Narnaviridae-HMM226-488_46.0-ORF111
seq422	>tsa-GEDU01037373.1 (REVERSE SENSE) TSA: Jatropha curcas Unigene10736_S7 transcribed RNA sequence-table1-Narnaviridae-HMM14-69_76.0-ORF7
seq423	>tsa-GEDU01045183.1 (REVERSE SENSE) TSA: Jatropha curcas Unigene18549_S7 transcribed RNA sequence-table6-Narnaviridae-HMM21-107_52.0-ORF40
seq424	>tsa-GEDU01050105.1 TSA: Jatropha curcas Unigene23479_S7 transcribed RNA sequence-table4-Narnaviridae-HMM48-88_36.0-ORF11
seq425	>tsa-GFBP01062652.1 (REVERSE SENSE) TSA: Juncus effusus comp195032_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM365-633_27.0-ORF79
seq426	>tsa-GBPT01024369.1 TSA: Lasioglossum xanthopus s8048_L_20689_0_a_12_2_l_3160 transcribed RNA sequence-table1-Narnaviridae-HMM390-658_25.0-ORF35
seq427	>tsa-GDRZ01080613.1 TSA: Leucaena leucocephala 940934 transcribed RNA sequence-table6-Narnaviridae-HMM317-414_16.0-ORF21
seq428	>tsa-GDRZ01085351.1 TSA: Leucaena leucocephala 1296233 transcribed RNA sequence-table1-Narnaviridae-HMM6-73_54.0-ORF4
seq429	>tsa-GDRZ01160504.1 (REVERSE SENSE) TSA: Leucaena leucocephala 1712992 transcribed RNA sequence-table4-Narnaviridae-HMM31-81_61.0-ORF37
seq430	>tsa-GDSA01020935.1 TSA: Leucaena leucocephala 229404 transcribed RNA sequence-table6-Narnaviridae-HMM317-414_16.0-ORF21
seq431	>tsa-GDSA01133644.1 (REVERSE SENSE) TSA: Leucaena leucocephala 1468008 transcribed RNA sequence-table6-Narnaviridae-HMM10-80_47.0-ORF9
seq432	>tsa-HAAN01020927.1 (REVERSE SENSE) TSA: Leucocoprinus gongylophorus, isolate Ae322, contig contig21192, transcribed RNA sequence-table4-Narnaviridae-HMM224-453_34.0-ORF47
seq433	>tsa-GEHH01001306.1 TSA: Leucocoprinus comp14380_c0_seq1 transcribed RNA sequence-table6-Narnaviridae-HMM194-444_35.0-ORF23
seq434	>tsa-GEHH01003501.1 TSA: Leucocoprinus comp14711_c0_seq1 transcribed RNA sequence-table6-Narnaviridae-HMM202-452_35.0-ORF23
seq435	>tsa-GEHI01000891.1 TSA: Leucocoprinus sp. HH-2015b comp13907_c0_seq1 transcribed RNA sequence-table6-Narnaviridae-HMM219-440_32.0-ORF18
seq436	>tsa-GEHI01002450.1 TSA: Leucocoprinus sp. HH-2015b comp12727_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM18-225_37.0-ORF16
seq437	>tsa-GEHI01003267.1 TSA: Leucocoprinus sp. HH-2015b comp15750_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM210-420_35.0-ORF14
seq438	>tsa-GAIP01013303.1 TSA: Litchi chinensis Unigene27067_LITlvbTARAAPE transcribed RNA sequence-table1-Narnaviridae-HMM2-94_88.0-ORF5
seq439	>tsa-GBRI01039927.1 (REVERSE SENSE) TSA: Litchi chinensis Unigene0039929 transcribed RNA sequence-table1-Narnaviridae-HMM1-82_96.0-ORF8
seq440	>tsa-GCAD01035583.1 TSA: Litchi chinensis Unigene28659_L.chinensis transcribed RNA sequence-table1-Narnaviridae-HMM1-82_96.0-ORF4
seq441	>tsa-GBFE01004865.1 (REVERSE SENSE) TSA: Locusta migratoria comp56029_c0 transcribed RNA sequence-table4-Narnaviridae-HMM270-537_35.0-ORF43
seq442	>tsa-GBDZ01000351.1 TSA: Locusta migratoria manilensis a416;183 transcribed RNA sequence-table4-Narnaviridae-HMM272-542_35.0-ORF19
seq443	>tsa-GAAY01006698.1 TSA: Lonicera japonica contig08680 mRNA sequence-table4-Narnaviridae-HMM157-255_35.0-ORF14
seq444	>tsa-GFCJ01029165.1 (REVERSE SENSE) TSA: Loxostege sticticalis c46205.graph_c0 transcribed RNA sequence-table6-Narnaviridae-HMM153-412_34.0-ORF46
seq445	>tsa-HAHD01054073.1 TSA: Lucernaria quadricornis, contig TRINITY_DN4225_c0_g1_i1, transcribed RNA sequence-table4-Narnaviridae-HMM184-499_45.0-ORF27
seq446	>tsa-GBHO01002101.1 (REVERSE SENSE) TSA: Lygus hesperus comp13268_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM75-320_60.0-ORF29
seq447	>tsa-GBHO01017035.1 TSA: Lygus hesperus comp12311_c0_seq1 transcribed RNA sequence-table1-Narnaviridae-HMM9-271_58.0-ORF17
seq448	>tsa-GANR01019059.1 TSA: Macrotyloma uniflorum scaffold1267_65 transcribed RNA sequence-table6-Narnaviridae-HMM49-119_46.0-ORF42
seq449	>tsa-GEEC01006201.1 TSA: Mangifera indica contig47814 transcribed RNA sequence-table1-Narnaviridae-HMM1-79_92.0-ORF2
seq450	>tsa-GFHA01027891.1 (REVERSE SENSE) TSA: Melanotaenia splendida tatei TRINITY_DN34116_c0_g1_i1 transcribed RNA sequence-table4-Narnaviridae-HMM176-576_46.0-ORF87
seq451	>tsa-GFHA01064512.1 TSA: Melanotaenia splendida tatei TRINITY_DN46201_c0_g1_i1 transcribed RNA sequence-table1-Narnaviridae-HMM1-82_90.0-ORF3
seq452	>tsa-GACP01036133.1 TSA: Micropterix calthella contig36175 mRNA sequence-table1-Narnaviridae-HMM14-178_91.0-ORF5
seq453	>tsa-GEOZ01034363.1 TSA: Millettia pinnata Unigene15634_MpSeed transcribed RNA sequence-table6-Narnaviridae-HMM9-109_73.0-ORF5
seq454	>tsa-GENV01003580.1 TSA: Mucuna pruriens MP03619 transcribed RNA sequence-table1-Narnaviridae-HMM2-67_92.0-ORF3
seq455	>tsa-GENV01026201.1 (REVERSE SENSE) TSA: Mucuna pruriens MP26527 transcribed RNA sequence-table1-Narnaviridae-HMM26-79_67.0-ORF8
seq456	>tsa-GENV01028548.1 TSA: Mucuna pruriens MP28904 transcribed RNA sequence-table6-Narnaviridae-HMM4-130_78.0-ORF46
seq457	>tsa-GENV01051414.1 TSA: Mucuna pruriens MP52064 transcribed RNA sequence-table1-Narnaviridae-HMM61-295_77.0-ORF12
seq458	>tsa-GENV01060714.1 (REVERSE SENSE) TSA: Mucuna pruriens MP61474 transcribed RNA sequence-table1-Narnaviridae-HMM8-70_81.0-ORF6
seq459	>tsa-GENV01068443.1 TSA: Mucuna pruriens MP69318 transcribed RNA sequence-table6-Narnaviridae-HMM2-201_84.0-ORF6
seq460	>tsa-GEWH01000725.1 TSA: Nereocystis luetkeana GWS036251_c25756_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM362-571_22.0-ORF27
seq461	>tsa-GEWH01000731.1 (REVERSE SENSE) TSA: Nereocystis luetkeana GWS036251_c40176_g1_i2 transcribed RNA sequence-table6-Narnaviridae-HMM367-576_22.0-ORF52
seq462	>tsa-GEWH01000774.1 TSA: Nereocystis luetkeana GWS036251_c51853_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM449-679_22.0-ORF32
seq463	>tsa-GEWH01001802.1 (REVERSE SENSE) TSA: Nereocystis luetkeana GWS036251_c44186_g1_i2 transcribed RNA sequence-table6-Narnaviridae-HMM236-467_28.0-ORF60
seq464	>tsa-GEWH01001972.1 (REVERSE SENSE) TSA: Nereocystis luetkeana GWS036251_c44186_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM236-467_28.0-ORF60
seq465	>tsa-GEWH01003494.1 (REVERSE SENSE) TSA: Nereocystis luetkeana GWS036251_c40176_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM367-576_29.0-ORF41
seq466	>tsa-GAGW01006701.1 TSA: Ophiocordyceps sinensis contig12577 transcribed RNA sequence-table4-Narnaviridae-HMM158-524_49.0-ORF25
seq467	>tsa-GEEQ01005055.1 TSA: Oxybasis rubra 5060 transcribed RNA sequence-table6-Narnaviridae-HMM305-571_34.0-ORF20
seq468	>tsa-GAAG01049512.1 TSA: Panax ginseng contig88829 mRNA sequence-table6-Narnaviridae-HMM241-347_28.0-ORF34
seq469	>tsa-GAAG01052948.1 TSA: Panax ginseng contig92265 mRNA sequence-table6-Narnaviridae-HMM129-206_32.0-ORF9
seq470	>tsa-GAAG01054213.1 (REVERSE SENSE) TSA: Panax ginseng contig93530 mRNA sequence-table6-Narnaviridae-HMM48-124_38.0-ORF23
seq471	>tsa-GDQW01075632.1 TSA: Panax ginseng c50774_g2_i1 transcribed RNA sequence-table6-Narnaviridae-HMM129-369_35.0-ORF21
seq472	>tsa-GDQW01075633.1 TSA: Panax ginseng c50774_g2_i2 transcribed RNA sequence-table6-Narnaviridae-HMM8-102_22.0-ORF14
seq473	>tsa-GDQW01149174.1 (REVERSE SENSE) TSA: Panax ginseng c58664_g2_i2 transcribed RNA sequence-table6-Narnaviridae-HMM241-347_28.0-ORF41
seq474	>tsa-GDQW01149175.1 (REVERSE SENSE) TSA: Panax ginseng c58664_g2_i3 transcribed RNA sequence-table6-Narnaviridae-HMM241-347_28.0-ORF70
seq475	>tsa-GDQW01149176.1 (REVERSE SENSE) TSA: Panax ginseng c58664_g2_i4 transcribed RNA sequence-table6-Narnaviridae-HMM241-347_28.0-ORF59
seq476	>tsa-GDQW01162024.1 TSA: Panax ginseng c59918_g3_i4 transcribed RNA sequence-table6-Narnaviridae-HMM48-125_38.0-ORF12
seq477	>tsa-GDQW01162025.1 TSA: Panax ginseng c59918_g3_i5 transcribed RNA sequence-table6-Narnaviridae-HMM48-124_33.0-ORF13
seq478	>tsa-GFRX01010298.1 (REVERSE SENSE) TSA: Panax notoginseng TR100310_c0_g2_i2 transcribed RNA sequence-table6-Narnaviridae-HMM141-364_42.0-ORF100
